date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:07:33	2405159/2405159	---M--	200	added ('OK')	image/png	etag:%22799884f8987bfdfe3b95ec27e3b08f0e%22	https://otaku-coin.com/common/images/ph_office.png	/storage/emulated/0/HTTrack/Websites/OTKCOIN/otaku-coin.com/common/images/ph_office.png	(from https://otaku-coin.com/common/css/layout.css)
02:07:34	91468/91468	---M--	200	added ('OK')	image/jpeg	etag:%229628d2b57223e0a264dcf44cab793ef7%22	https://otaku-coin.com/common/images/bg_content03.jpg	/storage/emulated/0/HTTrack/Websites/OTKCOIN/otaku-coin.com/common/images/bg_content03.jpg	(from https://otaku-coin.com/common/css/layout.css)
02:07:34	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2027%20Dec%202017%2017:07:33%20GMT	https://otaku-coin.com/common/images/ph_0304.png	/storage/emulated/0/HTTrack/Websites/OTKCOIN/otaku-coin.com/common/images/ph_0304.png	(from https://otaku-coin.com/)
02:07:34	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2027%20Dec%202017%2017:07:33%20GMT	https://otaku-coin.com/common/images/ph_0303.png	/storage/emulated/0/HTTrack/Websites/OTKCOIN/otaku-coin.com/common/images/ph_0303.png	(from https://otaku-coin.com/)
02:07:34	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2027%20Dec%202017%2017:07:33%20GMT	https://otaku-coin.com/common/images/ph_0305.png	/storage/emulated/0/HTTrack/Websites/OTKCOIN/otaku-coin.com/common/images/ph_0305.png	(from https://otaku-coin.com/)
02:08:11	4061193/4061193	---M--	200	added ('OK')	image/png	etag:%22acba92e0bf6d2bed244cb50c2cccd45b%22	https://otaku-coin.com/common/images/bg.png	/storage/emulated/0/HTTrack/Websites/OTKCOIN/otaku-coin.com/common/images/bg.png	(from https://otaku-coin.com/common/css/layout.css)
02:08:32	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2027%20Dec%202017%2017:07:35%20GMT	https://otaku-coin.com/common/images/ph_0309.png	/storage/emulated/0/HTTrack/Websites/OTKCOIN/otaku-coin.com/common/images/ph_0309.png	(from https://otaku-coin.com/)
02:08:32	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2027%20Dec%202017%2017:07:35%20GMT	https://otaku-coin.com/common/images/ph_0306.png	/storage/emulated/0/HTTrack/Websites/OTKCOIN/otaku-coin.com/common/images/ph_0306.png	(from https://otaku-coin.com/)
02:08:32	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2027%20Dec%202017%2017:07:35%20GMT	https://otaku-coin.com/common/images/ph_0307.png	/storage/emulated/0/HTTrack/Websites/OTKCOIN/otaku-coin.com/common/images/ph_0307.png	(from https://otaku-coin.com/)
02:09:08	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2027%20Dec%202017%2017:08:13%20GMT	https://otaku-coin.com/common/images/ph_0308.png	/storage/emulated/0/HTTrack/Websites/OTKCOIN/otaku-coin.com/common/images/ph_0308.png	(from https://otaku-coin.com/)
02:09:27	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2027%20Dec%202017%2017:08:33%20GMT	https://otaku-coin.com/common/images/tg03.png	/storage/emulated/0/HTTrack/Websites/OTKCOIN/otaku-coin.com/common/images/tg03.png	(from https://otaku-coin.com/)
02:09:27	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2027%20Dec%202017%2017:08:33%20GMT	https://otaku-coin.com/common/images/obj_plan_en.png	/storage/emulated/0/HTTrack/Websites/OTKCOIN/otaku-coin.com/common/images/obj_plan_en.png	(from https://otaku-coin.com/en/)
02:10:03	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2027%20Dec%202017%2017:09:08%20GMT	https://otaku-coin.com/common/images/bg_content01.jpg	/storage/emulated/0/HTTrack/Websites/OTKCOIN/otaku-coin.com/common/images/bg_content01.jpg	(from https://otaku-coin.com/common/css/layout.css)
02:10:12	0/0	UR-M-Z	416	error ('Requested%20range%20not%20satisfiable')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.11.3/jquery.min.js	/storage/emulated/0/HTTrack/Websites/OTKCOIN/ajax.googleapis.com/ajax/libs/jquery/1.11.3/jquery.min.js	(from https://otaku-coin.com/)
02:10:23	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2027%20Dec%202017%2017:09:28%20GMT	https://otaku-coin.com/common/images/bg.jpg	/storage/emulated/0/HTTrack/Websites/OTKCOIN/otaku-coin.com/common/images/bg.jpg	(from https://otaku-coin.com/common/css/layout.css)
